playerID,team_id,fullName,posType,position 
8476999,7,Linus Ullmark,Goalie,G
8477499,7,Rasmus Ristolainen,Defenseman,D
8477839,7,Conor Sheary,Forward,LW
8477933,7,Sam Reinhart,Forward,C
8477986,7,Brandon Montour,Defenseman,D
8478403,7,Jack Eichel,Forward,C
8478542,7,Evan Rodrigues,Forward,LW
8479268,7,Casey Nelson,Defenseman,D
8479999,7,Casey Mittelstadt,Forward,C
8480839,7,Rasmus Dahlin,Defenseman,D
8470642,8,Shea Weber,Defenseman,D
8470775,8,Nate Thompson,Forward,C
8471679,8,Carey Price,Goalie,G
8473507,8,Jeff Petry,Defenseman,D
8474038,8,Paul Byron,Forward,LW
8474550,8,Antti Niemi,Goalie,G
8474668,8,Dale Weise,Forward,RW
8474818,8,Jordie Benn,Defenseman,D
8475193,8,Tomas Tatar,Forward,LW
8475235,8,Nicolas Deslauriers,Forward,LW
8475738,8,Jordan Weal,Forward,C
8475848,8,Brendan Gallagher,Forward,RW
8476285,8,Matthew Peca,Forward,C
8476381,8,Andrew Shaw,Forward,RW
8476422,8,Mike Reilly,Defenseman,D
8476469,8,Joel Armia,Forward,RW
8476479,8,Phillip Danault,Forward,C
8476948,8,Charles Hudon,Forward,LW
8476967,8,Brett Kulak,Defenseman,D
8477476,8,Artturi Lehkonen,Forward,LW
8477494,8,Jonathan Drouin,Forward,LW
8477503,8,Max Domi,Forward,C
8477850,8,Christian Folin,Defenseman,D
8479292,8,Charlie Lindgren,Goalie,G
8479376,8,Victor Mete,Defenseman,D
8480068,8,Ryan Poehling,Forward,C
8480829,8,Jesperi Kotkaniemi,Forward,C
8467950,9,Craig Anderson,Goalie,G
8471676,9,Bobby Ryan,Forward,RW
8474250,9,Zack Smith,Forward,LW
8474571,9,Mikkel Boedker,Forward,LW
8474697,9,Mark Borowiecki,Defenseman,D
8475175,9,Magnus Paajarvi,Forward,LW
8475195,9,Anders Nilsson,Goalie,G
8475715,9,Oscar Lindberg,Forward,LW
8476207,9,Brian Gibbons,Forward,LW
8476331,9,Dylan DeMelo,Defenseman,D
